calendar_year,dot_com_bubble_burst,nafta,2008_global_financial_crisis,european_debt_crisis,covid_19_pandemic,post_covid_inflation_surge,ontario_bill_124
1996,0,1,0,0,0,0,0
1997,0,1,0,0,0,0,0
1998,0,1,0,0,0,0,0
1999,0,1,0,0,0,0,0
2000,1,1,0,0,0,0,0
2001,1,1,0,0,0,0,0
2002,1,1,0,0,0,0,0
2003,0,1,0,0,0,0,0
2004,0,1,0,0,0,0,0
2005,0,1,0,0,0,0,0
2006,0,1,0,0,0,0,0
2007,0,1,1,0,0,0,0
2008,0,1,1,0,0,0,0
2009,0,1,1,0,0,0,0
2010,0,1,0,1,0,0,0
2011,0,1,0,1,0,0,0
2012,0,1,0,1,0,0,0
2013,0,1,0,0,0,0,0
2014,0,1,0,0,0,0,0
2015,0,1,0,0,0,0,0
2016,0,1,0,0,0,0,0
2017,0,1,0,0,0,0,0
2018,0,1,0,0,0,0,0
2019,0,1,0,0,0,0,1
2020,0,1,0,0,1,0,1
2021,0,0,0,0,1,0,1
2022,0,0,0,0,1,1,1
2023,0,0,0,0,1,1,0